| Paint | PRDII06AA | m3 | 561.7990436895693 | 76.25667323490318 |
| Roofing | PRD6O3O6K | m2 | 822.4119218369816 | 150.19247717270258 |
| Tool | PRDII7L34 | set/s | 864 | 48.21493931631759 |
| Insulation | PRDJ3J1M8 | pc/s | 357 | 94.63238937563483 |
| Tool | PRD3FFN99 | pc/s | 880 | 143.49147467629643 |
| Plumbing | PRDOP0P84 | ft | 147.38294582220684 | 131.93672067302964 |
| Paint | PRDPM4M16 | set/s | 716.7523998059092 | 144.96752563080568 |
| Tool | PRDAA2Q49 | pc/s | 548 | 75.59311811120162 |
| Cement | PRD34R1LL | sack/s | 966 | 98.6170735560724 |
| Insulation | PRDS2G4G4 | pc/s | 850 | 56.895647333150784 |
| Roofing | PRDTTT542 | inch2 | 770.9606343254385 | 103.7818334424709 |
| Electrical | PRDWU7W64 | m | 857.6744386787035 | 70.22682342224336 |
| Roofing | PRDW76VW4 | m2 | 247.06256379877172 | 72.5296885508268 |
| Lumber | PRDN89N4W | cm | 963.6569240096385 | 75.36708541557967 |
| Lumber | PRD45XJJ9 | yrd | 180.0025828120707 | 123.09386588865547 |
| Electrical | PRDT50Y9T | ft | 997.4399276655272 | 36.47409281731425 |
| Lumber | PRDR53RA1 | m | 362.50610690591 | 32.54296820528009 |
| Cement | PRDB57C2C | sack/s | 867 | 53.87623418017762 |
| Tool | PRDF4CF53 | set/s | 747 | 78.35446235462757 |
| Tool | PRDD45II3 | pc/s | 517 | 41.91754936245027 |
| Plumbing | PRD5W5WE6 | set/s | 338.2028392422999 | 119.51430153028411 |
| Lumber | PRDF65RR7 | ft | 439.19583481717 | 55.74904661738675 |
| Cement | PRD65G7DD | sack/s | 141 | 81.24358440772997 |
| Plumbing | PRDV9HV85 | pair/s | 560.9649249784205 | 77.45180024158788 |
| Cement | PRDIYY965 | sack/s | 648 | 68.39077188839913 |
| Paint | PRDP601PJ | inch3 | 705.4523808469336 | 108.6846585096147 |
| Cement | PRDA1K62A | sack/s | 933 | 107.43428993856824 |
| Electrical | PRDTL1T62 | ft | 398.1190820806431 | 68.3773421766235 |
| Lumber | PRDP63MP9 | inch | 158.48949243022662 | 81.86762818167688 |
| Paint | PRDNS446S | m3 | 943.890992259365 | 80.50508235539183 |
| Paint | PRD6N6NO5 | pc/s | 546.5434312966745 | 96.61092438950284 |
| Tool | PRDO616PO | set/s | 722 | 51.51697464257756 |
| Cement | PRD66ZZQ7 | sack/s | 957 | 35.41145312727418 |
| Plumbing | PRD6HRH88 | pair/s | 862.2078875988393 | 84.0772513875161 |
| Electrical | PRDS69U6U | m | 687.0801991006481 | 47.10356728504561 |
| Lumber | PRDT0TT73 | inch | 265.80612433474266 | 59.80877269037373 |
| Insulation | PRD761NUN | pc/s | 393 | 121.18689288280325 |
| Electrical | PRD22LV7L | pc/s | 718.858607111925 | 30.316935427982866 |
| Insulation | PRD73C1CW | pair/s | 640 | 111.61595287135714 |
| Cement | PRD1ZXZ47 | sack/s | 558 | 102.64547485403227 |
| Insulation | PRD7GG65Y | pc/s | 618 | 139.54682243072017 |
| Cement | PRDR5A67R | sack/s | 846 | 122.53830946025833 |
| Roofing | PRDB1AA77 | m2 | 819.2022768178422 | 104.62020033654244 |
| Electrical | PRD78LC2L | inch | 225.7353102518656 | 134.74147078483762 |
| Plumbing | PRDTD197T | pc/s | 264.9815215714194 | 133.5979160287507 |
| Paint | PRDE60V8V | m3 | 262.12126359194133 | 74.83038031708425 |
| Roofing | PRDN1F98N | inch2 | 376.3013207364128 | 36.07969285147751 |
| Tool | PRD8G23PP | pc/s | 914 | 32.203396268595014 |
| Paint | PRD3H84HH | m3 | 380.23177419931403 | 56.46654690528341 |
| Roofing | PRDIU483U | ft2 | 144.77824879623353 | 77.07854709945366 |
| Insulation | PRD8Z58ZJ | set/s | 315 | 88.91965685765207 |
| Cement | PRDAK6A58 | sack/s | 402 | 131.57380052646292 |
| Insulation | PRDB7B98L | pair/s | 629 | 41.1510282002764 |
| Paint | PRD8M8YY7 | pc/s | 330.5872700721876 | 108.16205554291467 |
| Roofing | PRD298NXX | ft2 | 793.7950999676141 | 112.99198488606312 |
| Cement | PRDLLO970 | sack/s | 907 | 56.543670595622984 |
| Tool | PRD3S91SP | set/s | 99 | 45.27844067652129 |
| Insulation | PRDH19Q2H | pair/s | 290 | 35.714611419734574 |
| Roofing | PRDHR63H9 | m2 | 235.15115588791457 | 65.24366535532344 |
| Plumbing | PRDWW9S14 | inch | 223.90865417326606 | 99.48101755783479 |
| Insulation | PRDD395TD | set/s | 890 | 24.424332202367573 |
| Tool | PRD3WW9U6 | pc/s | 980 | 53.47194566184407 |
| Paint | PRD6YVY79 | L | 334.62538437325395 | 27.465144494129937 |
| Roofing | PRDJJW899 | cm2 | 939.7095878443836 | 82.13260820967601 |
| Lumber | PRDYAX8Y0 | ft | 597.9326722598046 | 92.79929362297416 |
| Electrical | PRDY2P1PA | pc/s | 969.565235294662 | 121.92195025106963 |
| Electrical | PRDAAA2A1 | pc/s | 960.2681629416163 | 24.309348405654205 |
| Cement | PRDBAII83 | sack/s | 386 | 76.13749408231834 |
| Tool | PRD47ACWW | pc/s | 232 | 144.04452961423178 |
| Cement | PRDMA35DM | sack/s | 176 | 138.3986157081836 |
| Insulation | PRDATET69 | set/s | 472 | 94.33094057864282 |
| Insulation | PRDNAFN73 | pc/s | 289 | 75.56305698225248 |
| Insulation | PRDGQAQ89 | set/s | 266 | 96.79165158845441 |
| Plumbing | PRDAM2MH9 | yrd | 478.9685546659888 | 51.445327816238205 |
| Roofing | PRDA12SS0I | m2 | 254.14721815856515 | 48.38304932763259 |
| Cement | PRD1T1TJA8 | sack/s | 215 | 108.1140983194136 |
| Cement | PRDQ123AQK | sack/s | 841 | 31.14429936118782 |
| Tool | PRD3PAP8L1 | set/s | 240 | 59.1002249620863 |
| Cement | PRDIIA1M45 | sack/s | 519 | 111.1027887267686 |
| Paint | PRDNA5PP16 | set/s | 530.3886993310589 | 113.65139437042268 |
| Electrical | PRDZZA16O6 | ft | 676.5159369406141 | 47.47671298969406 |
| Insulation | PRDWW1AP87 | pc/s | 647 | 28.969780157264026 |
| Insulation | PRDI8I1Q5A | pair/s | 537 | 142.68048954969817 |
| Lumber | PRDLAR17L9 | m | 538.6321925149299 | 103.16159340215061 |
| Tool | PRD07PSPA2 | set/s | 223 | 92.20260127852376 |
| Cement | PRDT3GA21G | sack/s | 154 | 34.757486343903 |
| Lumber | PRD242ZUZA | yrd | 251.904236295108 | 81.09382949252094 |
| Cement | PRD1V3A2EE | sack/s | 204 | 145.26604136961907 |
| Lumber | PRD2WF41FA | cm | 660.5308295001906 | 62.59365555153453 |
| Paint | PRDA58OXO2 | pc/s | 245.43980556429514 | 116.9136622542265 |
| Tool | PRD22YB6AB | set/s | 448 | 80.83076113835791 |
| Plumbing | PRDAA32X7X | ft | 569.8909501414183 | 72.2493568741958 |
| Electrical | PRDM2M8AB4 | cm | 393.59907384875885 | 84.36808169192469 |
| Plumbing | PRDSAS299C | ft | 715.9059714095492 | 45.25834701855828 |
| Electrical | PRD0OAO37D | pair/s | 142.76699355890165 | 48.614989352223674 |
| Plumbing | PRDA5G31GE | yrd | 522.5498556582626 | 72.75515564032928 |
| Insulation | PRDA623DDF | pc/s | 834 | 41.24699087527451 |
| Roofing | PRDW8AWG33 | cm2 | 699.3959151945467 | 55.35612135230139 |
| Insulation | PRD34LLHA2 | set/s | 935 | 40.30659090437601 |
| Tool | PRD5QI13QA | pc/s | 117 | 59.475747532649834 |
| Cement | PRDGJ633GA | sack/s | 446 | 106.1216970556611 |
| Cement | PRDP3A37PK | sack/s | 403 | 37.341922078216676 |
| Plumbing | PRDM3LAM88 | yrd | 474.16668174897507 | 16.051035385871792 |
| Roofing | PRD9ZZ6M3A | cm2 | 856.8689634222706 | 85.18821127402578 |
| Insulation | PRDA40TNT8 | set/s | 114 | 139.74602845018742 |
| Cement | PRDA4O31LL | sack/s | 510 | 124.90409159528936 |
| Paint | PRDP224AII | inch3 | 931.0182028055409 | 141.34786953748736 |
| Electrical | PRDAQH43H6 | inch | 512.2777294995456 | 75.58946058949813 |
| Cement | PRD4P4PRA8 | sack/s | 917 | 57.03207731602677 |
| Electrical | PRDG64A5SG | set/s | 401.67913161251363 | 49.17726472158959 |
| Cement | PRDUUT464A | sack/s | 413 | 117.58044587392683 |
| Cement | PRD74F2FUA | sack/s | 456 | 36.660646231581836 |
| Cement | PRD48MMA6V | sack/s | 416 | 42.016024886754394 |
| Cement | PRDG9GW9A4 | sack/s | 91 | 53.36825776923529 |
| Insulation | PRDA09XX5X | pc/s | 855 | 65.22523322119754 |
| Insulation | PRD15AY1VV | pc/s | 215 | 83.04691585489995 |
| Plumbing | PRDAY25Y7A | cm | 959.8506883849512 | 106.62374579533505 |
| Cement | PRD5V3BAV5 | sack/s | 863 | 148.32532839065303 |
| Tool | PRDO5AO94C | set/s | 428 | 104.85890325012826 |
| Cement | PRD5ZD75ZA | sack/s | 206 | 116.71397105839426 |
| Lumber | PRD586UEAU | ft | 99.29639538162738 | 104.95072988457822 |
| Insulation | PRD57FWWA4 | set/s | 596 | 43.9988478149938 |
| Paint | PRDAG8QQ51 | m3 | 143.346559882042 | 34.749423199818075 |
| Lumber | PRDEA59EH3 | yrd | 472.6973066634795 | 91.96966502912234 |
| Tool | PRDAI056VV | pc/s | 688 | 70.94433576133171 |
| Paint | PRD1AJT1T6 | pair/s | 478.1784944331549 | 141.09009827128375 |
| Plumbing | PRDQQ9AK62 | set/s | 595.8511769773713 | 87.32798518254167 |
| Tool | PRD3LA3XX6 | pc/s | 125 | 63.10321424260213 |
| Paint | PRDQ4AM6Q4 | yrd3 | 635.9833838459504 | 109.71665336779843 |
| Tool | PRD5NO9OA6 | set/s | 399 | 85.42985769375235 |
| Insulation | PRDYA966OY | set/s | 863 | 142.92391779423457 |
| Roofing | PRD7AVV6P1 | m2 | 553.6591608265269 | 39.366404314367934 |
| Lumber | PRDQ1ZAZ86 | inch | 983.7900789873501 | 24.85084472433906 |
| Tool | PRDAN946NR | set/s | 171 | 148.68331957085329 |
| Electrical | PRDHAHS708 | m | 753.2225626097559 | 118.26718359261926 |
| Electrical | PRDTAU17U5 | ft | 302.9640694074769 | 121.19657604428522 |
| Paint | PRDE728EUA | L | 561.9857766749217 | 57.6363971724847 |
| Paint | PRD97BA3VB | yrd3 | 192.73084639938344 | 136.04556901124886 |
| Lumber | PRD3KA47WK | inch | 819.1404505424916 | 141.3782171007163 |
| Cement | PRDXA875DD | sack/s | 534 | 18.59823240023149 |
| Paint | PRD67CYCA3 | gal | 453.5527462094373 | 29.788615493983407 |
| Plumbing | PRDO772OAA | cm | 682.8714916140451 | 47.17833840246936 |
| Lumber | PRDCAB8C72 | yrd | 740.0744955527381 | 16.446144349408545 |
| Paint | PRDM19ACM7 | pc/s | 456.8328273376551 | 140.71109786067228 |
| Tool | PRD7ARRD08 | set/s | 242 | 95.30761267439617 |
| Tool | PRDA14K8EK | pc/s | 643 | 27.25395683049663 |
| Insulation | PRD2A2FA8A | set/s | 818 | 150.49499448406434 |
| Cement | PRDG83F8AF | sack/s | 234 | 42.15566948962546 |
| Roofing | PRDKA6HK48 | yrd2 | 121.46793787449367 | 16.263014039618614 |
| Plumbing | PRD8SI6SA5 | inch | 969.924262124764 | 97.2852227757584 |
| Tool | PRDJ6ANN81 | pc/s | 837 | 110.86988004658194 |
| Tool | PRDJ47KA8J | pc/s | 909 | 109.7568798381874 |
| Roofing | PRDL89ZZ8A | m2 | 163.68684855463897 | 21.584298165518945 |
| Cement | PRDMK9A81K | sack/s | 444 | 90.29376619251794 |
| Paint | PRDOO0A19N | inch3 | 994.0853301592763 | 141.5320708403482 |
| Plumbing | PRDFO914AF | m | 550.0771947333673 | 61.4535240038989 |
| Insulation | PRDKK29PA1 | pair/s | 434 | 27.09904314013778 |
| Roofing | PRDA33Q9GG | m2 | 586.1020961503309 | 101.22779256064986 |
| Paint | PRDARAA449 | set/s | 296.5195786891629 | 77.94261903045715 |
| Roofing | PRDSSSA695 | m2 | 497.33734922666986 | 78.56865388497607 |
| Insulation | PRD696TABB | pair/s | 249 | 149.2568022603518 |
| Cement | PRD792LULA | sack/s | 867 | 93.7084466879898 |
| Paint | PRDWV89A4W | pc/s | 901.9137895455569 | 124.20876924154908 |
| Paint | PRDHW0ABH9 | L | 142.91775826123893 | 93.46386043574844 |
| Insulation | PRD9N1XN | pc/s | 915 | 75.03496846228923 |
| Plumbing | PRDKYK21 | inch | 198.2628098059842 | 28.37226979334963 |
| Plumbing | PRDA3B5B | ft | 123.86376713717684 | 55.15487855068237 |
| Roofing | PRDV4BV4 | m2 | 609.6658540645436 | 88.1376025613405 |
| Electrical | PRDX7C5X | pc/s | 739.1163969404781 | 75.15655523683101 |
| Roofing | PRD5P6DP | yrd2 | 503.43280266328776 | 101.8543725786626 |
| Insulation | PRDQ77EQ | set/s | 326 | 102.92431047530539 |
| Electrical | PRDF88QQ | pair/s | 486.1440227061598 | 86.51315838277173 |
| Electrical | PRD9GOO8 | inch | 415.80649604372013 | 93.74317836939665 |
| Electrical | PRD18HM0M | set/s | 478.01178285874875 | 117.46400375846581 |
| Cement | PRDS11IS5 | sack/s | 984 | 118.3423258711166 |
| Lumber | PRDB2BJ16 | cm | 458.05976429282765 | 144.05066648171518 |
| Tool | PRDHK33H1 | set/s | 475 | 149.6111352200605 |
| Tool | PRD914YLY | set/s | 491 | 147.34239189632075 |
| Insulation | PRDMSS751 | pair/s | 414 | 28.608265458705468 |
| Insulation | PRDKN1K26 | pc/s | 315 | 104.05597710717599 |
| Roofing | PRD77OF1F | yrd2 | 201.6116835362104 | 29.63234117910522 |
| Cement | PRDPL1L89 | sack/s | 838 | 58.55474217863024 |
| Roofing | PRD1VVQ19 | yrd2 | 880.5111347023513 | 116.82202356516225 |
| Paint | PRD2R01JJ | pc/s | 750.1883855318799 | 138.9249336725432 |
| Tool | PRDSB42B1 | set/s | 775 | 96.61555215785775 |
| Insulation | PRDJT3J22 | pair/s | 552 | 65.70284558716114 |
| Roofing | PRD33A2UA | ft2 | 702.5818735559764 | 132.35677009687666 |
| Cement | PRD72VQQ4 | sack/s | 333 | 101.36585401713998 |
| Insulation | PRD25W2OO | set/s | 123 | 58.321702621171816 |
| Paint | PRD9SXS62 | yrd3 | 445.8023173790018 | 139.97774910064192 |
| Tool | PRD712XXY | pc/s | 134 | 75.85959485898591 |
| Electrical | PRDAP88P2 | inch | 350.95323539449197 | 39.742096136589055 |
| Tool | PRDWBW924 | set/s | 287 | 23.337891008239556 |
| Paint | PRDDD2C03 | mL | 882.5805872720908 | 136.3012677756885 |
| Paint | PRD6B1D3B | m3 | 185.8565090641558 | 150.95194128998654 |
| Tool | PRDM23E2M | pc/s | 446 | 53.87524871359878 |
| Paint | PRDF336SS | set/s | 929.3088114380162 | 96.24076319984208 |
| Roofing | PRDD4GD43 | yrd2 | 352.0465962600848 | 19.23607422427895 |
| Insulation | PRDL3H3L5 | pair/s | 981 | 118.27933968138781 |
| Tool | PRD53HHI6 | set/s | 867 | 115.00242447117708 |
| Lumber | PRDJ739SS | inch | 959.6091554107242 | 46.69094215226244 |
| Cement | PRDN8K34N | sack/s | 257 | 21.0289334166753 |
| Cement | PRD98G3LG | sack/s | 933 | 19.59093153403272 |
| Plumbing | PRDM07E4E | pair/s | 419.76891372847473 | 144.2007461544839 |
| Insulation | PRD44FF1N | pc/s | 463 | 127.88570389188267 |
| Lumber | PRDO124KK | ft | 116.81263926706681 | 144.46742413799646 |
| Electrical | PRD4P7J3J | m | 665.6982699082998 | 116.22498995241254 |
| Insulation | PRD84QQ4Q | pair/s | 292 | 84.79039273315463 |
| Electrical | PRD54Q5RQ | inch | 285.56810620534554 | 129.9600244405364 |
| Cement | PRDY64SY3 | sack/s | 290 | 128.16795191839796 |
| Electrical | PRD847HTH | yrd | 424.2687357130742 | 60.77256171116114 |
| Tool | PRDOO88U4 | pc/s | 993 | 141.6129915735495 |
| Insulation | PRD4V8WW9 | set/s | 867 | 141.47258686352356 |
| Cement | PRD9P05PW | sack/s | 504 | 99.81597173120934 |
| Tool | PRD55WX1W | pc/s | 352 | 124.97575183325684 |
| Lumber | PRDF2Y56F | cm | 835.1035182706344 | 93.54544218348074 |
| Insulation | PRD5M3M5A | pc/s | 177 | 147.01689086839897 |
| Roofing | PRDA74AB5 | m2 | 836.8003025925412 | 57.416430639783705 |
| Roofing | PRD45ZZ5C | inch2 | 342.807088888755 | 23.753167081613213 |
| Insulation | PRDJ75J6D | pc/s | 412 | 113.74677920542189 |
| Roofing | PRD7QQ5E9 | inch2 | 473.02750126392255 | 67.86429082422958 |
| Lumber | PRDC5FC58 | m | 367.5955403392658 | 125.3806330358916 |
| Electrical | PRD5YG9Y9 | cm | 874.3770731471861 | 72.50547884924589 |
| Lumber | PRDH4ZZ06 | yrd | 423.78368114757967 | 64.37108607755829 |
| Roofing | PRD14H6HI | m2 | 242.24112638142776 | 16.46168623910243 |
| Roofing | PRD2J6VV1 | cm2 | 764.60803468382 | 77.00130916427763 |
| Tool | PRDO34O6K | set/s | 672 | 125.59362951868168 |
| Roofing | PRD4G61GL | inch2 | 765.8239869172857 | 62.86113648526488 |
| Tool | PRD6T5MT6 | set/s | 506 | 48.55472095922276 |
